event_id,cluster_id,currency,era,symbol,currency_leg,trade_dir,cluster_trade_dir,entry_delay_min,entry_bar_epoch,entry_lag_sec,entry_price,px_p5,px_p15,px_p30,px_p60,px_p90,px_p120,ret_p5,ret_p15,ret_p30,ret_p60,ret_p90,ret_p120,ret_raw_p5,ret_raw_p15,ret_raw_p30,ret_raw_p60,ret_raw_p90,ret_raw_p120,mae_p90_bp,mfe_p90_bp,atr_m5_bp,bars_missing,session_intact,window_ok,weekday,broker_hour,minute_of_hour
0967f1534fc4,9af8078b6d2d,USD,IS,USDJPY.DWX,1,-1,-1,15,1559922300,0,107.932,107.955,107.991,107.968,108.088,108.055,108.025,-2.130971352,-5.466404773,-3.335433421,-14.45354482,-11.39606419,-8.616536338,2.130971352,5.466404773,3.335433421,14.45354482,11.39606419,8.616536338,-19.17874217,4.817848275,2.316273209,0,1,1,4,15,45
0c80a3d5fdd8,4ef93862f162,USD,IS,EURUSD.DWX,-1,-1,1,5,1610120100,0,1.22433,1.22543,1.22784,1.22659,1.22765,1.22539,1.22316,-8.984505811,-28.66874127,-18.45907558,-27.11687209,-8.657796509,9.55624709,8.984505811,28.66874127,18.45907558,27.11687209,8.657796509,-9.55624709,-33.65105813,0.5717412789,3.640475082,0,1,1,4,15,35
0c80a3d5fdd8,4ef93862f162,USD,IS,EURUSD.DWX,-1,-1,1,10,1610120400,0,1.22544,1.22716,1.2258,1.22622,1.2266,1.22416,1.22312,-14.03577491,-2.937720329,-6.365060713,-9.465987727,10.44522784,18.93197545,14.03577491,2.937720329,6.365060713,9.465987727,-10.44522784,-18.93197545,-24.56260608,11.58767463,3.63717755,0,1,1,4,15,40
0c80a3d5fdd8,4ef93862f162,USD,IS,EURUSD.DWX,-1,-1,1,15,1610120700,0,1.22718,1.22784,1.22714,1.22658,1.22576,1.22428,1.22333,-5.378184129,0.3259505533,4.8892583,11.57124464,23.63141511,31.37274076,5.378184129,-0.3259505533,-4.8892583,-11.57124464,-23.63141511,-31.37274076,-10.34893007,25.75009371,3.632020451,0,1,1,4,15,45
0c80a3d5fdd8,4ef93862f162,USD,IS,USDJPY.DWX,1,1,-1,5,1610120100,0,103.909,103.814,103.622,103.707,103.687,103.889,103.917,-9.142615173,-27.62032163,-19.440087,-21.36484809,-1.924761089,0.7699044356,-9.142615173,-27.62032163,-19.440087,-21.36484809,-1.924761089,0.7699044356,-29.44884466,3.079617742,3.079617742,0,1,1,4,15,35
0c80a3d5fdd8,4ef93862f162,USD,IS,USDJPY.DWX,1,1,-1,10,1610120400,0,103.813,103.683,103.72,103.73,103.786,103.945,103.91,-12.52251645,-8.958415613,-7.995145117,-2.600830339,12.71517055,9.343723811,-12.52251645,-8.958415613,-7.995145117,-2.600830339,12.71517055,9.343723811,-20.22868042,13.38945989,3.082465587,0,1,1,4,15,40
0c80a3d5fdd8,4ef93862f162,USD,IS,USDJPY.DWX,1,1,-1,15,1610120700,0,103.683,103.622,103.633,103.71,103.85,103.93,103.951,-5.883317419,-4.822391327,2.604091317,16.10678703,23.82261316,25.84801751,-5.883317419,-4.822391327,2.604091317,16.10678703,23.82261316,25.84801751,-7.715826124,25.94446534,3.08633045,0,1,1,4,15,45
1056708c725e,97265f1de52b,USD,IS,EURUSD.DWX,-1,1,1,5,1533310500,0,1.15981,1.16035,1.16011,1.15896,1.15632,1.15827,1.15912,4.655935024,2.586630569,-7.328786612,-30.09113562,-13.27803692,-5.949250308,4.655935024,2.586630569,-7.328786612,-30.09113562,-13.27803692,-5.949250308,-32.67776619,8.535880877,5.087040119,0,1,1,4,15,35
1056708c725e,97265f1de52b,USD,IS,EURUSD.DWX,-1,1,1,10,1533310800,0,1.16034,1.16066,1.16031,1.15884,1.15651,1.15808,1.15923,2.757812365,-0.2585449093,-12.92724546,-33.00756675,-19.47704983,-9.566161642,2.757812365,-0.2585449093,-12.92724546,-33.00756675,-19.47704983,-9.566161642,-37.23046693,3.964355275,5.084716549,0,1,1,4,15,40
1056708c725e,97265f1de52b,USD,IS,EURUSD.DWX,-1,1,1,15,1533311100,0,1.16066,1.16011,1.1595,1.15862,1.15659,1.15821,1.15935,-4.738683163,-9.99431358,-17.57620664,-35.06625541,-21.10867954,-11.28668172,-4.738683163,-9.99431358,-17.57620664,-35.06625541,-21.10867954,-11.28668172,-39.97725432,1.20621026,5.083314666,0,1,1,4,15,45
