currency,event,raw_datetime_utc,applied_offset_min,release_utc,home_tz,home_local_hhmm,modal_home_local_hhmm,local_peak_offset_min,local_peak_ratio,local_prominent,instant_verified,void_reason
USD,Non-Farm Employment Change,2023.01.05 20:30,1020,2023-01-06T13:30:00Z,America/New_York,08:30,08:30,90,2.014742015,1,0,local_peak_elsewhere
USD,Non-Farm Employment Change,2023.02.02 20:30,1020,2023-02-03T13:30:00Z,America/New_York,08:30,08:30,0,2.377034358,1,1,
USD,Non-Farm Employment Change,2023.03.09 20:30,1020,2023-03-10T13:30:00Z,America/New_York,08:30,08:30,0,1.720028715,1,1,
USD,Non-Farm Employment Change,2023.04.06 19:30,1020,2023-04-07T12:30:00Z,America/New_York,08:30,08:30,0,9.198757764,1,1,
USD,Non-Farm Employment Change,2023.05.04 19:30,1020,2023-05-05T12:30:00Z,America/New_York,08:30,08:30,0,3.312865497,1,1,
USD,Non-Farm Employment Change,2023.06.01 19:30,1020,2023-06-02T12:30:00Z,America/New_York,08:30,08:30,0,3.886690647,1,1,
USD,Non-Farm Employment Change,2023.07.06 19:30,1020,2023-07-07T12:30:00Z,America/New_York,08:30,08:30,0,2.970501475,1,1,
USD,Non-Farm Employment Change,2023.08.03 19:30,1020,2023-08-04T12:30:00Z,America/New_York,08:30,08:30,0,3.547511312,1,1,
USD,Non-Farm Employment Change,2023.08.31 19:30,1020,2023-09-01T12:30:00Z,America/New_York,08:30,08:30,0,2.71253406,1,1,
USD,Non-Farm Employment Change,2023.10.05 20:30,1020,2023-10-06T13:30:00Z,America/New_York,09:30,08:30,-60,2.37586548,1,0,home_clock_mismatch
USD,Non-Farm Employment Change,2023.11.02 20:30,1020,2023-11-03T13:30:00Z,America/New_York,09:30,08:30,-60,2.226152197,1,0,home_clock_mismatch
USD,Non-Farm Employment Change,2023.12.07 20:30,1020,2023-12-08T13:30:00Z,America/New_York,08:30,08:30,0,3.683333333,1,1,
USD,Non-Farm Employment Change,2024.01.04 20:30,1020,2024-01-05T13:30:00Z,America/New_York,08:30,08:30,0,2.893316195,1,1,
