config_id,year,clock_mode,outside_rule,buffer_points,range_band_enabled,range_start_hour,range_end_hour,range_end_minute,range_bar_period,exit_hour
43,2024,2,2,20,false,0,8,0,0,18
43,2025,2,2,20,false,0,8,0,0,18
44,2019,2,3,0,true,0,8,0,0,18
44,2020,2,3,0,true,0,8,0,0,18
44,2021,2,3,0,true,0,8,0,0,18
44,2022,2,3,0,true,0,8,0,0,18
44,2023,2,3,0,true,0,8,0,0,18
44,2024,2,3,0,true,0,8,0,0,18
44,2025,2,3,0,true,0,8,0,0,18
45,2019,2,3,0,false,0,8,0,0,18
45,2020,2,3,0,false,0,8,0,0,18
45,2021,2,3,0,false,0,8,0,0,18
45,2022,2,3,0,false,0,8,0,0,18
45,2023,2,3,0,false,0,8,0,0,18
45,2024,2,3,0,false,0,8,0,0,18
45,2025,2,3,0,false,0,8,0,0,18
46,2019,2,3,20,true,0,8,0,0,18
46,2020,2,3,20,true,0,8,0,0,18
46,2021,2,3,20,true,0,8,0,0,18
46,2022,2,3,20,true,0,8,0,0,18
46,2023,2,3,20,true,0,8,0,0,18
46,2024,2,3,20,true,0,8,0,0,18
46,2025,2,3,20,true,0,8,0,0,18
47,2019,2,3,20,false,0,8,0,0,18
47,2020,2,3,20,false,0,8,0,0,18
47,2021,2,3,20,false,0,8,0,0,18
47,2022,2,3,20,false,0,8,0,0,18
47,2023,2,3,20,false,0,8,0,0,18
47,2024,2,3,20,false,0,8,0,0,18
47,2025,2,3,20,false,0,8,0,0,18
48,2019,1,0,0,false,0,7,30,1,18
48,2020,1,0,0,false,0,7,30,1,18
48,2021,1,0,0,false,0,7,30,1,18
48,2022,1,0,0,false,0,7,30,1,18
48,2023,1,0,0,false,0,7,30,1,18
48,2024,1,0,0,false,0,7,30,1,18
48,2025,1,0,0,false,0,7,30,1,18
49,2019,1,0,20,false,0,7,30,1,18
49,2020,1,0,20,false,0,7,30,1,18
49,2021,1,0,20,false,0,7,30,1,18
49,2022,1,0,20,false,0,7,30,1,18
49,2023,1,0,20,false,0,7,30,1,18
49,2024,1,0,20,false,0,7,30,1,18
49,2025,1,0,20,false,0,7,30,1,18
