seq,handler,tick_no,timer_no,sim_iso,sim_epoch,wall_ms,host_b0_open,host_b1_open,sec_b0_open,sec_b1_open,sec_close1,la_forming,la_closed
7519,TICK,271,7248,2018.01.02 00:12:04,1514851924,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7521,TICK,272,7249,2018.01.02 00:12:04,1514851924,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7523,TICK,273,7250,2018.01.02 00:12:05,1514851925,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7526,TICK,274,7252,2018.01.02 00:12:05,1514851925,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7609,TICK,275,7334,2018.01.02 00:12:13,1514851933,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7611,TICK,276,7335,2018.01.02 00:12:13,1514851933,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7614,TICK,277,7337,2018.01.02 00:12:13,1514851933,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7616,TICK,278,7338,2018.01.02 00:12:13,1514851933,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7618,TICK,279,7339,2018.01.02 00:12:13,1514851933,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7619,TICK,280,7339,2018.01.02 00:12:13,1514851933,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7621,TICK,281,7340,2018.01.02 00:12:14,1514851934,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7630,TICK,282,7348,2018.01.02 00:12:14,1514851934,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7632,TICK,283,7349,2018.01.02 00:12:14,1514851934,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7634,TICK,284,7350,2018.01.02 00:12:15,1514851935,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7711,TICK,285,7426,2018.01.02 00:12:22,1514851942,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7720,TICK,286,7434,2018.01.02 00:12:23,1514851943,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7722,TICK,287,7435,2018.01.02 00:12:23,1514851943,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7727,TICK,288,7439,2018.01.02 00:12:23,1514851943,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7729,TICK,289,7440,2018.01.02 00:12:24,1514851944,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7736,TICK,290,7446,2018.01.02 00:12:24,1514851944,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7738,TICK,291,7447,2018.01.02 00:12:24,1514851944,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7742,TICK,292,7450,2018.01.02 00:12:25,1514851945,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7797,TICK,293,7504,2018.01.02 00:12:30,1514851950,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7855,TICK,294,7561,2018.01.02 00:12:36,1514851956,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7857,TICK,295,7562,2018.01.02 00:12:36,1514851956,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7949,TICK,296,7653,2018.01.02 00:12:45,1514851965,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7960,TICK,297,7663,2018.01.02 00:12:46,1514851966,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
8006,TICK,298,7708,2018.01.02 00:12:50,1514851970,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
8117,TICK,299,7818,2018.01.02 00:13:01,1514851981,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
8118,TICK,300,7818,2018.01.02 00:13:01,1514851981,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
8317,TIMER,317,8000,2018.01.02 00:13:14,1514851994,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
9328,TIMER,328,9000,2018.01.02 00:14:54,1514852094,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
10444,TIMER,444,10000,2018.01.02 00:16:20,1514852180,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
11600,TIMER,600,11000,2018.01.02 00:18:19,1514852299,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
12724,TIMER,724,12000,2018.01.02 00:19:29,1514852369,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
13749,TIMER,749,13000,2018.01.02 00:21:22,1514852482,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
14801,TIMER,801,14000,2018.01.02 00:23:19,1514852599,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
15863,TIMER,863,15000,2018.01.02 00:24:54,1514852694,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
16891,TICK,1000,15891,2018.01.02 00:26:29,1514852789,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
17007,TIMER,1007,16000,2018.01.02 00:26:30,1514852790,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
18286,TIMER,1286,17000,2018.01.02 00:28:18,1514852898,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
19348,TIMER,1348,18000,2018.01.02 00:29:53,1514852993,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
20381,TIMER,1381,19000,2018.01.02 00:31:35,1514853095,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
21414,TIMER,1414,20000,2018.01.02 00:33:03,1514853183,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
22483,TIMER,1483,21000,2018.01.02 00:34:52,1514853292,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
23533,TIMER,1533,22000,2018.01.02 00:36:33,1514853393,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
24552,TIMER,1552,23000,2018.01.02 00:38:19,1514853499,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
25634,TIMER,1634,24000,2018.01.02 00:39:51,1514853591,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
26654,TIMER,1654,25000,2018.01.02 00:41:13,1514853673,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
27662,TIMER,1662,26000,2018.01.02 00:43:05,1514853785,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
28674,TIMER,1674,27000,2018.01.02 00:44:57,1514853897,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
29704,TIMER,1704,28000,2018.01.02 00:46:27,1514853987,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
30818,TIMER,1818,29000,2018.01.02 00:48:13,1514854093,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
31959,TIMER,1959,30000,2018.01.02 00:49:51,1514854191,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
32830,TICK,2000,30830,2018.01.02 00:51:23,1514854283,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
33011,TIMER,2011,31000,2018.01.02 00:51:39,1514854299,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
34060,TIMER,2060,32000,2018.01.02 00:53:14,1514854394,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
35064,TIMER,2064,33000,2018.01.02 00:54:44,1514854484,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
36068,TIMER,2068,34000,2018.01.02 00:55:52,1514854552,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
37074,TIMER,2074,35000,2018.01.02 00:58:02,1514854682,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
38086,TIMER,2086,36000,2018.01.02 00:59:57,1514854797,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
39542,TIMER,2542,37000,2018.01.02 01:01:39,1514854899,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
40796,TIMER,2796,38000,2018.01.02 01:03:19,1514854999,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
41272,TICK,3000,38272,2018.01.02 01:03:47,1514855027,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
42615,TIMER,3615,39000,2018.01.02 01:04:59,1514855099,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
43457,TICK,4000,39457,2018.01.02 01:05:45,1514855145,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
44394,TIMER,4394,40000,2018.01.02 01:06:39,1514855199,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
45726,TICK,5000,40726,2018.01.02 01:07:52,1514855272,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
46259,TIMER,5259,41000,2018.01.02 01:08:19,1514855299,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
47824,TIMER,5824,42000,2018.01.02 01:09:59,1514855399,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
48629,TICK,6000,42629,2018.01.02 01:11:02,1514855462,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
49220,TIMER,6220,43000,2018.01.02 01:11:38,1514855498,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
50515,TIMER,6515,44000,2018.01.02 01:13:19,1514855599,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
51613,TIMER,6613,45000,2018.01.02 01:14:59,1514855699,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
52687,TIMER,6687,46000,2018.01.02 01:16:36,1514855796,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
53978,TIMER,6978,47000,2018.01.02 01:18:19,1514855899,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
54190,TICK,7000,47190,2018.01.02 01:18:39,1514855919,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
55097,TIMER,7097,48000,2018.01.02 01:19:59,1514855999,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
56291,TIMER,7291,49000,2018.01.02 01:21:39,1514856099,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
57373,TIMER,7373,50000,2018.01.02 01:23:19,1514856199,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
58530,TIMER,7530,51000,2018.01.02 01:24:59,1514856299,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
59643,TIMER,7643,52000,2018.01.02 01:26:36,1514856396,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
60777,TIMER,7777,53000,2018.01.02 01:28:19,1514856499,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
61539,TICK,8000,53539,2018.01.02 01:29:13,1514856553,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
62247,TIMER,8247,54000,2018.01.02 01:29:59,1514856599,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
63694,TIMER,8694,55000,2018.01.02 01:31:36,1514856696,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
64949,TIMER,8949,56000,2018.01.02 01:33:19,1514856799,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
65162,TICK,9000,56162,2018.01.02 01:33:36,1514856816,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
66622,TIMER,9622,57000,2018.01.02 01:34:59,1514856899,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
67920,TIMER,9920,58000,2018.01.02 01:36:39,1514856999,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
68303,TICK,10000,58303,2018.01.02 01:37:10,1514857030,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
69383,TIMER,10383,59000,2018.01.02 01:38:19,1514857099,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
70817,TICK,11000,59817,2018.01.02 01:39:41,1514857181,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
71030,TIMER,11030,60000,2018.01.02 01:39:59,1514857199,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
72396,TIMER,11396,61000,2018.01.02 01:41:39,1514857299,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
73857,TIMER,11857,62000,2018.01.02 01:43:19,1514857399,297,2018.01.02 01:00,2018.01.02 00:00,2018.01.02 01:00,2017.12.29 23:00,1302.670,0,0
