cell_key,year,arm,config,status,verdict,evidence_path
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c16,2019,c16,16,done,MEASURED,D:\QM\reports\work_items\26e17d6b-970e-5e1d-a748-a0832f9b0d86\QM5_41405\20260911_134730\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c16,2020,c16,16,done,MEASURED,D:\QM\reports\work_items\43cfc9ab-3858-5efa-9838-1ca1d69f84cb\QM5_41405\20260911_134951\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c16,2021,c16,16,done,MEASURED,D:\QM\reports\work_items\329a3ca7-1489-5165-b470-5c262b27319f\QM5_41405\20260911_135228\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c16,2022,c16,16,done,MEASURED,D:\QM\reports\work_items\859d03c7-23b9-5293-9e94-9b7792374c69\QM5_41405\20260911_135501\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2023:c16,2023,c16,16,done,MEASURED,D:\QM\reports\work_items\a91f7ed9-8f20-5659-8bce-6d93943ec48a\QM5_41405\20260911_135803\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2024:c16,2024,c16,16,done,MEASURED,D:\QM\reports\work_items\67b143e6-2d64-5ce3-8576-e0c8bc305712\QM5_41405\20260911_140024\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2025:c16,2025,c16,16,done,MEASURED,D:\QM\reports\work_items\8e5292d3-316a-5bce-a482-05059a0ab4f6\QM5_41405\20260911_140312\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c17,2019,c17,17,done,MEASURED,D:\QM\reports\work_items\6fe660d4-e23e-55d2-a688-25652e5eec43\QM5_41405\20260911_140553\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c17,2020,c17,17,done,MEASURED,D:\QM\reports\work_items\8d26c553-96ee-5cfd-9440-27f3b855b531\QM5_41405\20260911_140850\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c17,2021,c17,17,done,MEASURED,D:\QM\reports\work_items\ef690fb5-d858-5dca-9d21-4bdc06c24558\QM5_41405\20260911_141202\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c17,2022,c17,17,done,MEASURED,D:\QM\reports\work_items\5d9ec588-b957-57a2-8a2c-2d691f3ed8e4\QM5_41405\20260911_141500\summary.json
