currency,month,native_high_rows,candidate_primary_high_rows,usd_40_50_band,count_basis
CAD,2016-05,0,12,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2016-06,0,12,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2016-07,0,13,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2016-08,0,8,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2016-09,0,12,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2016-10,0,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2016-11,0,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2016-12,0,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2017-01,0,17,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2017-02,0,11,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2017-03,0,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2017-04,0,18,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2017-05,0,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2017-06,0,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2017-07,0,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2017-08,0,11,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2017-09,0,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2017-10,0,16,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
