weekend_id,symbol,era,friday_close_utc,sunday_open_utc,friday_close,sunday_open,gap_raw,gap_pips,gap_dir,trade_side,atr_d1,gap_size_atr,high_5d,low_5d,range_5d,range_pos,range_bucket,is_conditioned,triggered,filled_by_timestop,filled_full_week,fill_time_utc,fill_elapsed_min,exit_reason,exit_time_utc,exit_price,mae_pips,mae_bp,gross_pnl_pips,gross_pnl_bp,spread_pips,net_pnl_pips,net_pnl_bp
2017-11-24_2017-11-26,USDJPY.DWX,OTHER,2017-11-24T21:50:00Z,2017-11-26T22:05:00Z,111.5,111.481,-0.019,-1.9,-1,LONG,0.715,0.0266,112.717,111.067,1.65,0.2624,LOWER_THIRD,0,0,1,1,2017-11-26T22:05:00Z,0,FILL,2017-11-26T22:05:00Z,111.5,0,0,1.9,1.7,0.8,1.1,0.99
2017-12-01_2017-12-03,USDJPY.DWX,OTHER,2017-12-01T21:50:00Z,2017-12-03T22:05:00Z,112.172,112.726,0.554,55.4,1,SHORT,0.828,0.6691,112.874,110.841,2.033,0.6547,MIDDLE_THIRD,0,1,0,1,2017-12-06T04:25:00Z,3260,TIMESTOP,2017-12-04T12:00:00Z,112.904,34.3,30.43,-17.8,-15.79,0.8,-18.6,-16.5
2017-12-08_2017-12-10,USDJPY.DWX,OTHER,2017-12-08T21:50:00Z,2017-12-10T22:05:00Z,113.469,113.531,0.062,6.2,1,SHORT,0.774,0.0801,113.588,111.991,1.597,0.9255,UPPER_THIRD,0,0,0,1,2017-12-11T00:20:00Z,135,STOP,2017-12-10T23:00:00Z,113.593,9.6,8.46,-6.2,-5.46,0.8,-7,-6.17
2017-12-15_2017-12-17,USDJPY.DWX,OTHER,2017-12-15T21:50:00Z,2017-12-17T22:05:00Z,112.61,112.702,0.092,9.2,1,SHORT,0.774,0.1189,113.75,112.03,1.72,0.3372,MIDDLE_THIRD,0,0,1,1,2017-12-17T22:25:00Z,20,FILL,2017-12-17T22:25:00Z,112.61,1.7,1.51,9.2,8.16,0.8,8.4,7.45
2017-12-22_2017-12-24,USDJPY.DWX,OTHER,2017-12-22T21:50:00Z,2017-12-24T22:55:00Z,113.279,113.217,-0.062,-6.2,-1,LONG,0.6,0.1033,113.637,112.308,1.329,0.7306,UPPER_THIRD,1,0,1,1,2017-12-24T23:40:00Z,45,FILL,2017-12-24T23:40:00Z,113.279,0,0,6.2,5.48,0.8,5.4,4.77
2017-12-29_2018-01-01,USDJPY.DWX,IS,2017-12-29T21:50:00Z,2018-01-01T18:00:00Z,112.675,112.591,-0.084,-8.4,-1,LONG,0.513,0.1638,113.381,112.471,0.91,0.2242,LOWER_THIRD,0,0,0,1,2018-01-01T22:15:00Z,255,TIMESTOP,2018-01-01T18:00:00Z,112.605,0,0,1.4,1.24,0.8,0.6,0.53
2018-01-05_2018-01-07,USDJPY.DWX,IS,2018-01-05T21:50:00Z,2018-01-07T22:05:00Z,113.054,113.126,0.072,7.2,1,SHORT,0.421,0.1711,113.307,112.053,1.254,0.7982,UPPER_THIRD,0,0,1,1,2018-01-07T22:05:00Z,0,FILL,2018-01-07T22:05:00Z,113.054,1,0.88,7.2,6.36,0.8,6.4,5.66
2018-01-12_2018-01-14,USDJPY.DWX,IS,2018-01-12T21:50:00Z,2018-01-14T22:05:00Z,111.039,111.084,0.045,4.5,1,SHORT,0.597,0.0754,113.386,110.914,2.472,0.0506,LOWER_THIRD,1,0,1,1,2018-01-14T22:05:00Z,0,FILL,2018-01-14T22:05:00Z,111.039,0,0,4.5,4.05,0.8,3.7,3.33
2018-01-19_2018-01-21,USDJPY.DWX,IS,2018-01-19T21:50:00Z,2018-01-21T22:05:00Z,110.816,110.534,-0.282,-28.2,-1,LONG,0.771,0.3659,111.481,110.191,1.29,0.4845,MIDDLE_THIRD,0,1,1,1,2018-01-22T01:25:00Z,200,FILL,2018-01-22T01:25:00Z,110.816,1.5,1.36,28.2,25.51,0.8,27.4,24.79
2018-01-26_2018-01-28,USDJPY.DWX,IS,2018-01-26T21:50:00Z,2018-01-28T22:05:00Z,108.645,108.681,0.036,3.6,1,SHORT,0.987,0.0365,111.224,108.282,2.942,0.1234,LOWER_THIRD,1,0,0,1,2018-01-28T22:55:00Z,50,STOP,2018-01-28T22:10:00Z,108.717,5.8,5.34,-3.6,-3.31,0.8,-4.4,-4.05
