family,symbol,gate,distinct_fail_pairs
mean-reversion,CADCHF.DWX,Q04,5
mean-reversion,AUDCAD.DWX,Q04,5
basket/statarb,GDAXI.DWX,Q04,5
trend/momentum,GDAXI.DWX,Q03,5
trend/momentum,XAUUSD.DWX,Q07,5
session/ORB,GBPJPY.DWX,Q02,5
breakout,XAGUSD.DWX,Q04,5
range/fade,XAUUSD.DWX,Q02,5
pullback,USDCAD.DWX,Q02,5
mean-reversion,GBPCHF.DWX,Q04,5
breakout,AUDJPY.DWX,Q04,5
mean-reversion,AUDJPY.DWX,Q04,5
mean-reversion,AUDCHF.DWX,Q04,5
oscillator/other,AUDCAD.DWX,Q04,5
mean-reversion,SP500.DWX,Q07,5
breakout,GDAXI.DWX,Q05,5
mean-reversion,AUDNZD.DWX,Q04,5
mean-reversion,GBPCAD.DWX,Q04,5
session/ORB,AUDUSD.DWX,Q04,5
range/fade,USDCAD.DWX,Q02,5
mean-reversion,EURAUD.DWX,Q04,5
breakout,EURGBP.DWX,Q02,5
session/ORB,XTIUSD.DWX,Q02,5
mean-reversion,EURUSD.DWX,Q05,5
pattern,NDX.DWX,Q04,5
session/ORB,GDAXI.DWX,Q05,5
oscillator/other,GDAXI.DWX,Q05,5
trend/momentum,USDJPY.DWX,Q08,5
other,XTIUSD.DWX,Q05,5
range/fade,XTIUSD.DWX,Q05,5
range/fade,XNGUSD.DWX,Q04,5
basket/statarb,AUDCAD.DWX,Q02,4
basket/statarb,AUDCHF.DWX,Q02,4
basket/statarb,AUDNZD.DWX,Q02,4
breakout,AUDCAD.DWX,Q02,4
breakout,CADCHF.DWX,Q02,4
breakout,CADJPY.DWX,Q02,4
mean-reversion,EURGBP.DWX,Q02,4
mean-reversion,GBPCHF.DWX,Q02,4
mean-reversion,NZDCAD.DWX,Q02,4
mean-reversion,XAGUSD.DWX,Q02,4
trend/momentum,SP500.DWX,Q03,4
other,WS30.DWX,Q03,4
oscillator/other,UK100.DWX,Q02,4
other,USDJPY.DWX,Q03,4
mean-reversion,XAUUSD.DWX,Q08,4
other,SP500.DWX,Q07,4
pattern,WS30.DWX,Q02,4
breakout,EURCHF.DWX,Q02,4
pullback,GDAXI.DWX,Q02,4
oscillator/other,GBPJPY.DWX,Q02,4
session/ORB,XTIUSD.DWX,Q04,4
other,EURJPY.DWX,Q05,4
