family,symbol_class,timeframe,session,holding_class,n_pairs
session/ORB,other,H1,session-open,intraday,1
breakout,other,M5,unspecified,scalp,1
oscillator/other,other,M5,unspecified,scalp,1
trend/momentum,other,D1,session-open,position,1
other,other,M1,unspecified,scalp,1
session/ORB,other,M5,session-open,scalp,1
breakout,other,M1,unspecified,scalp,1
trend/momentum,other,M30,unspecified,intraday,1
other,other,M5,session-open,scalp,1
oscillator/other,other,D1,overnight/seasonal,position,1
mean-reversion,fx_jpy,H1,ny,intraday,1
range/fade,fx_cross,M30,unspecified,intraday,1
pattern,metal,M5,unspecified,scalp,1
pattern,fx_jpy,M5,unspecified,scalp,1
range/fade,metal,M30,unspecified,intraday,1
session/ORB,fx_jpy,H1,asian,intraday,1
breakout,fx_jpy,M5,session-open,scalp,1
trend/momentum,fx_jpy,M5,session-open,scalp,1
other,metal,M30,session-open,intraday,1
other,energy,M30,session-open,intraday,1
oscillator/other,other,M15,overnight/seasonal,intraday,1
other,energy,D1,session-open,position,1
range/fade,metal,H4,session-open,swing,1
range/fade,fx_jpy,H1,overnight/seasonal,intraday,1
session/ORB,metal,M30,asian,intraday,1
session/ORB,metal,M5,ny,scalp,1
mean-reversion,commodity,D1,unspecified,position,1
breakout,commodity,D1,unspecified,position,1
session/ORB,fx_jpy,M1,asian,scalp,1
range/fade,energy,H4,session-open,swing,1
range/fade,fx_jpy,H4,session-open,swing,1
pattern,energy,H4,unspecified,swing,1
basket/statarb,other,M15,unspecified,intraday,1
session/ORB,metal,M5,london,scalp,1
range/fade,fx_major,H1,overnight/seasonal,intraday,1
grid/pyramid,fx_major,M15,unspecified,intraday,1
session/ORB,energy,M30,session-open,intraday,1
basket/statarb,fx_major,H1,session-open,intraday,1
session/ORB,fx_cross,H1,london,intraday,1
grid/pyramid,fx_cross,H1,london,intraday,1
grid/pyramid,fx_jpy,H1,london,intraday,1
trend/momentum,energy,W1,unspecified,position,1
grid/pyramid,fx_cross,H1,unspecified,intraday,1
session/ORB,fx_jpy,D1,overnight/seasonal,position,1
breakout,energy,M5,session-open,scalp,1
grid/pyramid,fx_jpy,M5,unspecified,scalp,1
grid/pyramid,energy,H4,unspecified,swing,1
mean-reversion,energy,D1,session-open,position,1
session/ORB,fx_cross,M15,asian,intraday,1
session/ORB,energy,D1,overnight/seasonal,position,1
breakout,index,M15,session-open,intraday,1
range/fade,fx_major,D1,overnight/seasonal,position,1
other,other,D1,overnight/seasonal,position,1
