ea_id,symbol,build_hash,setfile_hash,gate,phase,n,pass,econ_fail,infra,invalid,stale,other,valid
QM5_10038,NZDUSD.DWX,61833c537bb10b731ea9c63717ccea8b720d91cf8c671fa469d2ebe06a313891,e906be91bdbf2ed976fe1fe2dd58a765c9c7e41d761f7bc835b66ae9d4eb8fa6,Q02,Q02,2,0,0,0,1,0,1,0
QM5_10038,SP500.DWX,61833c537bb10b731ea9c63717ccea8b720d91cf8c671fa469d2ebe06a313891,abda08c8d45e91afe63742cd000f752b9b3c95e0ae33ae37614a74756d557106,Q02,Q02,1,0,0,0,1,0,0,0
QM5_10038,UK100.DWX,61833c537bb10b731ea9c63717ccea8b720d91cf8c671fa469d2ebe06a313891,37fefe4918de893e84cdccd01ebfdbc11c52fc19277fd11cdcf85f7d22167922,Q02,Q02,1,0,0,0,1,0,0,0
QM5_10038,USDCAD.DWX,61833c537bb10b731ea9c63717ccea8b720d91cf8c671fa469d2ebe06a313891,b04e4260f37f99341e3c0d15ba2039f81956f834a4910a18d3a34fdcefb2d226,Q02,Q02,2,0,0,0,1,0,1,0
QM5_10038,USDCHF.DWX,61833c537bb10b731ea9c63717ccea8b720d91cf8c671fa469d2ebe06a313891,f046e13e937c21560baba767d48f3fef5468295f4b345c1ef4aa5c5d8b99d371,Q02,Q02,2,0,0,0,1,0,1,0
QM5_10038,WS30.DWX,61833c537bb10b731ea9c63717ccea8b720d91cf8c671fa469d2ebe06a313891,3b5dda7cc51820d47c97bd4df77e3fc2eac4383c553bf4c90d5f356472ec5977,Q02,Q02,1,0,0,0,1,0,0,0
QM5_10038,XAUUSD.DWX,61833c537bb10b731ea9c63717ccea8b720d91cf8c671fa469d2ebe06a313891,632e04ef90df205732cf208aa526277c00cabc909b464b31177b43ca330fed86,Q06,Q06,1,1,0,0,0,0,0,1
QM5_10038,XAUUSD.DWX,61833c537bb10b731ea9c63717ccea8b720d91cf8c671fa469d2ebe06a313891,ad87ab27c68aceebee4eb1da326fa6aaf72fdd1cdc59e21bb37da2aed124e051,Q05,Q05,1,1,0,0,0,0,0,1
QM5_10040,EURJPY.DWX,5dcf47e11e22c86b44ffacd5480ac4a2aeab2bd8e8fc4e3e135e80c6cb5518e5,9b5dc7061f240425f442874831d13fd81ac4df064d21eb2825e69fd7685b1fd0,Q04,Q04,1,0,1,0,0,0,0,0
QM5_10042,AUDUSD.DWX,882dec13243995d9630e159803ad03390c2d3fd4bbdc8379aa51a892c9bf9c9b,db0e1ca7ab5086c8690ba58696192be987cbdf3280a5c8ec24a3171247909ca9,Q04,Q04,1,0,1,0,0,0,0,0
QM5_10044,GBPUSD.DWX,7c55afc633adfb4a9c03790b7b864fc2560f6143b3d911932f73d3208da4939a,5e8574e15cb0a121431613c83d2f55aebe3082dcefc916582a1ca47307fb75f3,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10044,USDJPY.DWX,0c4ce445c1a3276440809a551b664e8d9f3276d6e2a07a52bb633669bfcd53cb,,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10045,AUDUSD.DWX,9d6f4e12bbc283adb6e2f271ada395604d8ad752f6a6f55cea7341681b45c053,84728bdef3db747e134760093fc3026611f638e1e02e1d44340b6302a84e64fd,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10045,GBPUSD.DWX,9d6f4e12bbc283adb6e2f271ada395604d8ad752f6a6f55cea7341681b45c053,679f821a3cb7c678e0c190eaeec6a2a76c4432ea95d92105873f2944a9f54e5f,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10045,USDJPY.DWX,9d6f4e12bbc283adb6e2f271ada395604d8ad752f6a6f55cea7341681b45c053,b36c2e6cecbc1d520c607fd601a939d461a0b39be33c1cde48a16153476c464a,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10046,EURUSD.DWX,96b3bba936142621e5fe97e0da478c84e75a6470578ebbf35427a666590fc8f8,f8f951c7eb680f2fe2789f631b2e333b217f6aa710ffb009a7b0f2b7500e54e8,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10046,GBPUSD.DWX,96b3bba936142621e5fe97e0da478c84e75a6470578ebbf35427a666590fc8f8,47445e2c15a8591d8ff59ea2b0e7917df8e06093b1aedc652120fae9dad85012,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10046,GBPUSD.DWX,96b3bba936142621e5fe97e0da478c84e75a6470578ebbf35427a666590fc8f8,47445e2c15a8591d8ff59ea2b0e7917df8e06093b1aedc652120fae9dad85012,Q03,Q03,2,2,0,0,0,0,0,1
QM5_10046,USDJPY.DWX,96b3bba936142621e5fe97e0da478c84e75a6470578ebbf35427a666590fc8f8,b0ea3d2355b059de1745ab6f852fa6997ce9022acbeebf0ed6f717e9100abc25,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10046,USDJPY.DWX,96b3bba936142621e5fe97e0da478c84e75a6470578ebbf35427a666590fc8f8,b0ea3d2355b059de1745ab6f852fa6997ce9022acbeebf0ed6f717e9100abc25,Q03,Q03,2,2,0,0,0,0,0,1
QM5_10046,XAUUSD.DWX,96b3bba936142621e5fe97e0da478c84e75a6470578ebbf35427a666590fc8f8,337e9424188cb0c9a2bb4d39a53b1c76537dcda8355aba9c94284358f894261c,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10048,NZDUSD.DWX,57b0c5c34a1e54876e4677c7b99bbc66448a0e52834a1b73a201365005e59ccc,85f300e0fcc9e4ee250542ffdfc39b0cddeab0c341e2a874a40a938ea7b37038,Q04,Q04,1,0,0,1,0,0,0,0
