event_id,event_time_utc,event_names,symbol,pre_high,pre_low,pre_range_pts,post_high,post_low,post_range_pts,expansion_ratio,breakout_dir,entry_price,mfe_15m_pts,mae_15m_pts,mfe_30m_pts,mae_30m_pts,mfe_60m_pts,mae_60m_pts,gross_pnl_pts,net_pnl_pts,era
E2_00733,2020-05-21T12:30:00Z,Initial Jobless Claims,SP500.DWX,2963.1,2955.6,7.5,2969.6,2956.8,12.8,1.7067,1,2963.1,7.5,3.1,8.9,3.1,9.7,3.1,6,5,IS
E2_00734,2020-05-28T12:30:00Z,Initial Jobless Claims,SP500.DWX,3050.3,3040.6,9.7,3053.4,3039.6,13.8,1.4227,-1,3040.6,6.7,2.3,8.2,2.3,11.5,2.3,-7.3,-8.3,IS
E2_00735,2020-06-04T12:30:00Z,Initial Jobless Claims,SP500.DWX,3116.3,3104.5,11.8,3113.3,3098,15.3,1.2966,-1,3104.5,2.8,11.8,2.8,11.8,3.5,11.8,-6.8,-7.8,IS
E2_00736,2020-06-05T12:30:00Z,Nonfarm Payrolls,SP500.DWX,3141.2,3135.7,5.5,3182.2,3137.5,44.7,8.1273,1,3141.2,29.2,1,29.2,1,43.7,1,32,31,IS
E2_00737,2020-06-10T12:30:00Z,CPI m/m,SP500.DWX,3220.8,3207.5,13.3,3222.3,3212.5,9.8,0.7368,0,,2.8,1.5,4.3,1.5,4.8,5,0,0,IS
E2_00738,2020-06-10T18:00:00Z,Fed Interest Rate Decision,SP500.DWX,3205.8,3198.5,7.3,3224.5,3189.5,35,4.7945,0,3202.15,21.7,10.3,24.7,10.3,24.7,10.3,-3.65,-4.65,IS
E2_00739,2020-06-11T12:30:00Z,Initial Jobless Claims,SP500.DWX,3128.2,3103.9,24.3,3119.7,3100.9,18.8,0.7737,-1,3103.9,1.2,10.6,1.2,10.6,8.2,10.6,-10,-11,IS
E2_00740,2020-06-16T12:30:00Z,Retail Sales m/m,SP500.DWX,3136,3109.3,26.7,3168.3,3133.8,34.5,1.2921,1,3136,22.8,0,34.5,0,34.5,0,16.8,15.8,IS
E2_00741,2020-06-18T12:30:00Z,Initial Jobless Claims,SP500.DWX,3107.2,3085.1,22.1,3105.7,3090.6,15.1,0.6833,0,,1.7,10.6,4.5,10.6,4.5,10.6,0,0,IS
E2_00742,2020-06-25T12:30:00Z,Initial Jobless Claims,SP500.DWX,3045.6,3032.8,12.8,3050.8,3029.8,21,1.6406,0,3039.2,10.3,7.5,10.3,7.5,13.5,7.5,-6.4,-7.4,IS
E2_00743,2020-07-02T12:30:00Z,Nonfarm Payrolls;Initial Jobless Claims,SP500.DWX,3138.6,3132.8,5.8,3157.4,3135.1,22.3,3.8448,1,3138.6,19.8,0,21.5,0,22.3,0,13,12,IS
E2_00744,2020-07-09T12:30:00Z,Initial Jobless Claims,SP500.DWX,3177.2,3170.7,6.5,3179.7,3175.7,4,0.6154,1,3177.2,2.2,0.8,3.2,0.8,3.2,0.8,-1,-2,IS
E2_00745,2020-07-14T12:30:00Z,CPI m/m,SP500.DWX,3172.5,3164.5,8,3166,3138.5,27.5,3.4375,-1,3164.5,0.2,13.6,0.2,21.1,0.2,27.3,23.7,22.7,IS
E2_00746,2020-07-16T12:30:00Z,Retail Sales m/m;Initial Jobless Claims,SP500.DWX,3211.6,3205.9,5.7,3212.4,3200.9,11.5,2.0175,-1,3205.9,0.8,6.9,0.8,6.9,4.6,6.9,-0.2,-1.2,IS
E2_00747,2020-07-23T12:30:00Z,Initial Jobless Claims,SP500.DWX,3286.2,3279.4,6.8,3283.9,3270.2,13.7,2.0147,-1,3279.4,2.2,5.5,2.2,11,2.2,11.5,6.7,5.7,IS
E2_00748,2020-07-29T18:00:00Z,Fed Interest Rate Decision,SP500.DWX,3250.8,3245.5,5.3,3262,3243.7,18.3,3.4528,0,3248.15,5.2,3.8,5.2,3.8,14.5,3.8,-2.65,-3.65,IS
E2_00749,2020-07-30T12:30:00Z,Initial Jobless Claims,SP500.DWX,3236.7,3228.2,8.5,3237.2,3215.7,21.5,2.5294,1,3236.7,2.2,3.8,2.2,14.5,2.2,19.3,-10.5,-11.5,IS
E2_00750,2020-08-06T12:30:00Z,Initial Jobless Claims,SP500.DWX,3319.1,3308.1,11,3325.1,3314.1,11,1,1,3319.1,11,0,11,0,11,0,2.5,1.5,IS
E2_00751,2020-08-07T12:30:00Z,Nonfarm Payrolls,SP500.DWX,3341.7,3333.9,7.8,3352.1,3334.4,17.7,2.2692,1,3341.7,10.1,2.4,10.1,3.6,10.1,7.6,-2.8,-3.8,IS
E2_00752,2020-08-12T12:30:00Z,CPI m/m,SP500.DWX,3361.1,3357.9,3.2,3362.9,3354.4,8.5,2.6563,0,3359.5,4,4.5,4,4.5,4,4.5,-1.6,-2.6,IS
E2_00753,2020-08-13T12:30:00Z,Initial Jobless Claims,SP500.DWX,3374.1,3369.6,4.5,3379.6,3370.3,9.3,2.0667,1,3374.1,8,0,8,0,8,1.3,-3.5,-4.5,IS
E2_00754,2020-08-14T12:30:00Z,Retail Sales m/m,SP500.DWX,3373.1,3367.6,5.5,3375.1,3366.9,8.2,1.4909,1,3373.1,4.1,2.9,4.1,3.9,4.1,4.1,-4.5,-5.5,IS
E2_00755,2020-08-20T12:30:00Z,Initial Jobless Claims,SP500.DWX,3370.2,3360.4,9.8,3365.2,3355.9,9.3,0.949,-1,3360.4,0,5,0,5,0,9.3,3.7,2.7,IS
E2_00756,2020-08-27T12:30:00Z,Initial Jobless Claims,SP500.DWX,3479.2,3474.2,5,3494.4,3472.4,22,4.4,1,3479.2,4.2,1.9,4.2,1.9,16.1,5.9,9,8,IS
E2_00757,2020-09-03T12:30:00Z,Initial Jobless Claims,SP500.DWX,3569,3561,8,3570.8,3558.5,12.3,1.5375,1,3569,6.5,1.3,6.5,1.3,6.5,5.8,-9,-10,IS
E2_00758,2020-09-04T12:30:00Z,Nonfarm Payrolls,SP500.DWX,3462.8,3448.3,14.5,3474,3449,25,1.7241,1,3462.8,13.3,6.5,18,6.5,18.5,6.5,-0.8,-1.8,IS
E2_00759,2020-09-10T12:30:00Z,Initial Jobless Claims,SP500.DWX,3399,3382.5,16.5,3418.8,3391.8,27,1.6364,1,3399,8.2,4.5,16.2,4.5,22.5,4.5,19.5,18.5,IS
E2_00760,2020-09-11T12:30:00Z,CPI m/m,SP500.DWX,3368.9,3360.7,8.2,3362.7,3352.9,9.8,1.1951,-1,3360.7,1.3,8.5,1.3,8.5,1.3,8.5,2.8,1.8,IS
E2_00761,2020-09-16T12:30:00Z,Retail Sales m/m,SP500.DWX,3424.3,3418.6,5.7,3423.8,3414.3,9.5,1.6667,-1,3418.6,0,7.2,0,7.2,0,9.5,3.8,2.8,IS
E2_00762,2020-09-16T18:00:00Z,Fed Interest Rate Decision,SP500.DWX,3413.3,3403.3,10,3430.1,3407.8,22.3,2.23,1,3413.3,8.8,3.2,15.1,3.2,19.1,3.2,1.5,0.5,IS
E2_00763,2020-09-17T12:30:00Z,Initial Jobless Claims,SP500.DWX,3353.3,3337.3,16,3343.6,3326.3,17.3,1.0812,-1,3337.3,0.6,7.2,0.6,12.9,0.6,16.7,3.5,2.5,IS
E2_00764,2020-09-24T12:30:00Z,Initial Jobless Claims,SP500.DWX,3239.8,3222.3,17.5,3228.6,3209.8,18.8,1.0743,-1,3222.3,0.1,16.9,0.1,16.9,0.1,18.7,0.5,-0.5,IS
E2_00765,2020-10-01T12:30:00Z,Initial Jobless Claims,SP500.DWX,3396.8,3386.2,10.6,3393.7,3381.2,12.5,1.1792,0,,3,3.5,3,5.3,3,9.5,0,0,IS
E2_00766,2020-10-02T12:30:00Z,Nonfarm Payrolls,SP500.DWX,3339.7,3320.7,19,3336.7,3315.5,21.2,1.1158,0,,0.1,11.9,0.1,18.1,0.1,21.1,0,0,IS
E2_00767,2020-10-08T12:30:00Z,Initial Jobless Claims,SP500.DWX,3439.9,3426.8,13.1,3439.4,3432.9,6.5,0.4962,0,,0.2,5.1,0.2,5.1,1.4,5.1,0,0,IS
E2_00768,2020-10-13T12:30:00Z,CPI m/m,SP500.DWX,3541.3,3533.5,7.8,3537,3526.3,10.7,1.3718,-1,3533.5,1.5,3.7,1.5,7,1.5,9.2,1,0,IS
E2_00769,2020-10-15T12:30:00Z,Initial Jobless Claims,SP500.DWX,3459,3446.5,12.5,3452.2,3442.4,9.8,0.784,-1,3446.5,0.1,9.7,0.1,9.7,0.1,9.7,1,0,IS
E2_00770,2020-10-16T12:30:00Z,Retail Sales m/m,SP500.DWX,3495.3,3489.5,5.8,3501.3,3492,9.3,1.6034,1,3495.3,5.3,0,6.1,0,8.1,1.2,3.7,2.7,IS
E2_00771,2020-10-22T12:30:00Z,Initial Jobless Claims,SP500.DWX,3439.7,3431.5,8.2,3439.2,3430.7,8.5,1.0366,-1,3431.5,4.1,3.9,4.1,3.9,4.6,3.9,-6.7,-7.7,IS
